Facility,Date,Actual Departures,Actual Arrivals,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,On-Time Arrivals,% On-Time Gate Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Gate Arrival Delay,Average Block Delay,Average Taxi Out Time,Average Taxi In Time,Delayed Arrivals,Average Delay Per Delayed Arrival
ABQ,Jun-03,3066,3074,15,14,5,1,2611,87.7,84.94,6.66,7.85,2.67,9.89,4.41,463,42
ABQ,Jul-03,3153,3165,15,14,10,0,2659,86.71,84.01,7.43,9.52,2.22,10.35,4.52,506,51.04
ABQ,Aug-03,3125,3138,26,22,11,2,2641,86.85,84.16,6.96,8.61,2.29,10.04,4.46,497,46.59
ABQ,Sep-03,3056,3056,24,27,4,1,2773,92.15,90.74,4.22,4.89,2.11,9.53,4.43,283,40.62
ABQ,Oct-03,3169,3170,20,22,5,0,2834,90.56,89.4,5.24,5.89,1.95,9.6,4.51,336,43.72
ABQ,Nov-03,2887,2891,20,16,2,2,2457,88.81,84.99,5.69,7.74,3.2,9.51,4.38,434,40.6
ABQ,Dec-03,3042,3045,31,23,2,3,2538,86.49,83.35,6.63,8.7,2.63,10.02,4.39,507,42.78
ABQ,Jan-04,3030,3038,39,37,6,1,2479,87.92,81.6,6.53,9.17,3.4,10.8,4.28,559,41.31
ABQ,Feb-04,2891,2889,28,26,6,12,2314,84.95,80.1,7.8,10.47,3.58,12.65,4.45,575,43.81
ABQ,Mar-04,3118,3126,15,12,4,0,2663,87.94,85.19,5.79,7.5,2.64,9.99,4.61,463,40.07
ABQ,Apr-04,2957,2963,15,15,5,0,2459,85.56,82.99,7.33,8.53,3.25,10.41,4.72,504,39.56
ABQ,May-04,3053,3061,28,28,9,1,2565,86.37,83.8,7.92,8.7,2.29,10.53,4.37,496,44.47
ABQ,Jun-04,3100,3112,12,12,12,1,2259,79.03,72.59,11.44,14.59,4.01,10.76,4.62,853,46.71
ABQ,Jul-04,3131,3142,17,14,13,4,2431,79.34,77.37,12.34,12.12,3.18,10.48,5.03,711,45.27
ABQ,Aug-04,3224,3224,18,17,6,8,2502,80.33,77.61,10.69,12.04,2.62,10.1,4.62,722,46.05
ABQ,Sep-04,3064,3066,35,31,0,2,2723,90.31,88.81,5.13,6.12,1.42,9.55,4.52,343,43.5
ABQ,Oct-04,3209,3202,10,12,4,10,2563,81.55,80.04,9.68,10.57,2.99,9.93,4.59,639,43.54
ABQ,Nov-04,2889,2886,6,5,4,6,2311,83.8,80.08,8.83,10.75,2.77,9.94,4.57,575,45.77
ABQ,Dec-04,3054,3047,19,26,2,1,2306,79.93,75.68,10.77,13.29,2.31,10.33,4.61,741,47.78
ABQ,Jan-05,2942,2944,27,28,11,7,2336,83.65,79.35,9.13,11.03,2.2,9.88,4.45,608,45.94
ABQ,Feb-05,2626,2628,9,9,1,0,2143,86.18,81.54,7.42,9.56,2.29,9.52,4.47,485,42.38
ABQ,Mar-05,2988,2990,13,7,1,5,2403,83.37,80.37,8.25,9.76,2.08,10.88,4.51,587,41.7
ABQ,Apr-05,2873,2875,18,14,1,2,2451,89.42,85.25,5.46,6.81,1.86,10.09,4.39,424,36.34
ABQ,May-05,3035,3038,9,8,4,0,2579,88.2,84.89,6.09,7.81,1.37,9.77,4.42,459,43.07
ABQ,Jun-05,3133,3139,15,11,9,7,2582,84.65,82.26,7.74,9.45,1.75,10.7,4.5,557,44.92
ABQ,Jul-05,3255,3255,20,19,6,5,2497,80.09,76.71,10.96,12.92,1.97,10.8,4.81,758,48.91
ABQ,Aug-05,3262,3279,23,20,11,1,2599,82.37,79.26,9.36,10.93,2.16,10.34,4.82,680,45.67
ABQ,Sep-05,3173,3177,26,27,7,2,2695,87.83,84.83,6.5,7.6,1.99,10.01,4.66,482,40.87
ABQ,Oct-05,3328,3334,18,13,2,0,2826,85.64,84.76,7.77,7.82,1.99,9.74,4.83,508,41.07
ABQ,Nov-05,3004,3008,11,7,3,1,2608,89.25,86.7,5.39,6.47,1.72,9.69,4.6,400,37.04
ABQ,Dec-05,3055,3060,32,27,5,3,2352,79.67,76.86,10.07,12.02,2.13,10.12,4.62,708,44.61
